name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Life Is Good (feat. Drake),Future,5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,-5.831,0.481,0.0706,142.037,0.152,0.508
Blueberry Faygo,Lil Mosey,6wJYhPfqk3KGhHRG76WzOh,0.774,0.554,-7.909,0.0383,0.207,99.034,0.132,0.349
WHATS POPPIN,Jack Harlow,3Q6F8RByyhRTJpRtZLY3cg,0.923,0.604,-6.671,0.245,0.017,145.062,0.272,0.826
BOP,DaBaby,6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,-3.909,0.367,0.189,126.77,0.129,0.836
The London (feat. J. Cole & Travis Scott),Young Thug,7DcvwMAiqKJQD1rrdfxSDx,0.796,0.586,-6.946,0.147,0.0247,97.981,0.132,0.179
Money In The Grave (Drake ft. Rick Ross),Drake,5ry2OE6R2zPQFDO85XkgRb,0.831,0.502,-4.045,0.046,0.101,100.541,0.122,0.101
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,2zjGJ0dChMR0KxBZS15aqo,0.883,0.525,-8.054,0.0633,0.189,99.978,0.0971,0.312
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,116.971,0.79,0.642
APESHIT,The Carters,0E6PsO3ymCfUh7pJQjBgkj,0.705,0.784,-6.477,0.271,0.0133,160.035,0.168,0.377
Lucky You (feat. Joyner Lucas),Eminem,60SdxE8apGAxMiRrpbmLY0,0.876,0.786,-4.884,0.306,0.0627,153.068,0.127,0.575
Nonstop,Drake,0TlLq3lA83rQOYtrqBqSct,0.912,0.412,-8.074,0.124,0.0164,154.983,0.104,0.422
Mob Ties,Drake,7rC5Pl8rQSX4myONQHYPBK,0.755,0.575,-8.393,0.0678,0.0456,85.987,0.276,0.49
Uproar,Lil Wayne,3wScL5W8H40zzCKN0atfBk,0.743,0.87,-2.188,0.212,0.0595,99.075,0.299,0.884
Let It Fly (feat. Travis Scott),Lil Wayne,0CBQ0m3mufWH75LTYB3s6h,0.902,0.819,-3.321,0.317,0.0414,89.0,0.106,0.746
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,0dbTQYW3Ad1FTzIA9t90E8,0.855,0.694,-4.393,0.169,0.371,122.078,0.109,0.49
Drip Too Hard (Lil Baby & Gunna),Lil Baby,78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,-6.903,0.292,0.0852,112.511,0.534,0.389
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,6wWaVoUOzLQJHd3bWAUpdZ,0.753,0.686,-5.415,0.284,0.0677,132.055,0.193,0.886
ZEZE (feat. Travis Scott & Offset),Kodak Black,0FZ4Dmg8jJJAPJnvBIzD9z,0.861,0.603,-5.788,0.176,0.0521,98.043,0.0924,0.504
Going Bad (feat. Drake),Meek Mill,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,-6.365,0.0905,0.259,86.003,0.252,0.544
"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",Meek Mill,6cPnE82DKBLd7sg02ZNg8K,0.766,0.703,-5.877,0.163,0.00807,163.06,0.0618,0.331
Uptown Vibes (feat. Fabolous & Anuel AA),Meek Mill,2tnlNVAhuQGgoFJxALVeXx,0.655,0.835,-3.451,0.059,0.0459,91.035,0.409,0.165
Almost Slipped,Meek Mill,1bx4Jw8A7GQtImIQGccI6D,0.49,0.651,-6.24,0.251,0.246,164.213,0.233,0.46
Wow.,Post Malone,7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,-7.359,0.208,0.136,99.96,0.103,0.388
MIDDLE CHILD,J. Cole,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,-11.713,0.276,0.149,123.984,0.271,0.463
Codeine Dreaming (feat. Lil Wayne),Kodak Black,4DTpngLjoHj5gFxEZFeD3J,0.736,0.604,-7.357,0.222,0.0652,155.007,0.124,0.574
Used 2,Lil Wayne,68lOQPb5tX8U2cQRuas0L2,0.678,0.666,-6.949,0.487,0.337,87.634,0.115,0.523
No Role Modelz,J. Cole,62vpWI1CHwFy7tMIcSStl8,0.696,0.521,-8.465,0.332,0.302,100.0,0.0565,0.458
ATM,J. Cole,2UciqgwVDwro0fev3MFbxJ,0.719,0.497,-7.661,0.681,0.115,81.651,0.0898,0.345
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,7ycWLEP1GsNjVvcjawXz3z,0.85,0.569,-8.152,0.136,0.0609,80.02,0.1,0.294
